name,surface,aces,winner,total_pts
Kevin Anderson,Hard,14.0,True,124.0
Kevin Anderson,Hard,32.0,True,171.0
Kevin Anderson,Hard,14.0,True,103.0
Kevin Anderson,Hard,18.0,True,112.0
Richard Gasquet,Hard,5.0,False,98.0
Kevin Anderson,Hard,21.0,True,154.0
Kevin Anderson,Hard,15.0,True,87.0
Kevin Anderson,Hard,27.0,True,164.0
Kevin Anderson,Hard,9.0,True,137.0
Kevin Anderson,Hard,19.0,True,101.0
Kevin Anderson,Hard,9.0,True,160.0
Fernando Verdasco,Hard,5.0,False,149.0
Kevin Anderson,Hard,5.0,True,99.0
Kevin Anderson,Hard,15.0,True,119.0
Kevin Anderson,Clay,18.0,True,97.0
Kevin Anderson,Clay,21.0,True,120.0
Kevin Anderson,Clay,18.0,True,137.0
Kevin Anderson,Clay,13.0,True,121.0
Kevin Anderson,Clay,21.0,True,126.0
Kevin Anderson,Clay,24.0,True,174.0
Kevin Anderson,Clay,9.0,True,95.0
Kevin Anderson,Clay,21.0,True,133.0
Kevin Anderson,Clay,11.0,True,105.0
Kevin Anderson,Clay,7.0,True,96.0
Kevin Anderson,Clay,7.0,True,34.0
Ivo Karlovic,Clay,6.0,False,21.0
Kevin Anderson,Clay,13.0,True,115.0
Kevin Anderson,Clay,14.0,True,148.0
Kevin Anderson,Clay,8.0,True,126.0
Milos Raonic,Clay,16.0,False,102.0
Kevin Anderson,Clay,26.0,True,215.0
Kevin Anderson,Clay,21.0,True,117.0
Kevin Anderson,Clay,22.0,True,148.0
Kevin Anderson,Hard,28.0,True,165.0
Kevin Anderson,Hard,18.0,True,85.0
Kevin Anderson,Hard,11.0,True,150.0
Kevin Anderson,Hard,22.0,True,95.0
Kevin Anderson,Hard,18.0,True,106.0
Kevin Anderson,Hard,12.0,True,90.0
Kevin Anderson,Hard,18.0,True,128.0
Kevin Anderson,Hard,22.0,True,157.0
Sam Querrey,Hard,20.0,False,143.0
Kevin Anderson,Hard,22.0,True,137.0
Kevin Anderson,Hard,17.0,True,105.0
Kevin Anderson,Hard,16.0,True,114.0
Kevin Anderson,Hard,32.0,True,157.0
Kevin Anderson,Hard,20.0,True,84.0
Kevin Anderson,Hard,16.0,True,116.0
Kevin Anderson,Hard,26.0,True,167.0
Andy Murray,Hard,19.0,False,152.0
Kevin Anderson,Hard,29.0,True,171.0
Kevin Anderson,Hard,15.0,True,133.0
Kevin Anderson,Hard,20.0,True,126.0
Kevin Anderson,Hard,9.0,True,93.0
Kevin Anderson,Hard,14.0,True,93.0
Kevin Anderson,Hard,12.0,True,97.0
Kevin Anderson,Hard,14.0,True,166.0
Kevin Anderson,Grass,16.0,True,96.0
Kevin Anderson,Grass,24.0,True,140.0
Janko Tipsarevic,Grass,3.0,False,109.0
Kevin Anderson,Grass,20.0,True,106.0
Kevin Anderson,Grass,34.0,True,143.0
Andreas Seppi,Grass,8.0,False,118.0
Kevin Anderson,Grass,22.0,True,105.0
Philipp Kohlschreiber,Grass,5.0,False,80.0
Kevin Anderson,Grass,20.0,True,168.0
Gael Monfils,Grass,9.0,False,155.0
Kevin Anderson,Grass,27.0,True,190.0
Roger Federer,Grass,17.0,False,195.0
Kevin Anderson,Grass,49.0,True,298.0
John Isner,Grass,53.0,False,271.0
Kevin Anderson,Grass,25.0,True,137.0
Fernando Verdasco,Grass,6.0,False,130.0
Kevin Anderson,Grass,16.0,True,94.0
Andreas Seppi,Grass,10.0,False,67.0
Kevin Anderson,Grass,27.0,True,107.0
Kevin Anderson,Grass,23.0,True,131.0
Kevin Anderson,Grass,34.0,True,138.0
Kevin Anderson,Grass,22.0,True,109.0
Kevin Anderson,Grass,23.0,True,101.0
Kevin Anderson,Grass,24.0,True,122.0
Kevin Anderson,Grass,16.0,True,135.0
Fabio Fognini,Grass,6.0,False,118.0
Kevin Anderson,Grass,28.0,True,99.0
Kevin Anderson,Grass,15.0,True,102.0
Kevin Anderson,Grass,18.0,True,168.0
Kevin Anderson,Hard,13.0,False,118.0
Kevin Anderson,Hard,35.0,False,154.0
Kevin Anderson,Hard,14.0,False,111.0
Kevin Anderson,Hard,8.0,False,72.0
Rafael Nadal,Hard,3.0,True,89.0
Kevin Anderson,Hard,17.0,False,66.0
Tomas Berdych,Hard,7.0,True,92.0
Kevin Anderson,Hard,11.0,False,101.0
Tomas Berdych,Hard,7.0,True,122.0
Kevin Anderson,Hard,18.0,False,102.0
Tomas Berdych,Hard,14.0,True,124.0
Kevin Anderson,Hard,23.0,False,139.0
Kevin Anderson,Hard,2.0,False,52.0
Andy Murray,Hard,9.0,True,87.0
Kevin Anderson,Hard,8.0,False,108.0
Marin Cilic,Hard,16.0,True,134.0
Kevin Anderson,Hard,13.0,False,181.0
Kevin Anderson,Clay,19.0,False,158.0
Kevin Anderson,Clay,0.0,False,25.0
Marin Cilic,Clay,4.0,True,40.0
Kevin Anderson,Clay,18.0,False,113.0
Kevin Anderson,Clay,22.0,False,139.0
Richard Gasquet,Clay,3.0,True,150.0
Kevin Anderson,Clay,9.0,False,111.0
David Ferrer,Clay,2.0,True,138.0
Kevin Anderson,Clay,5.0,False,60.0
David Ferrer,Clay,1.0,True,97.0
Kevin Anderson,Clay,22.0,False,148.0
Tomas Berdych,Clay,10.0,True,151.0
Kevin Anderson,Clay,12.0,False,142.0
Kevin Anderson,Clay,15.0,False,136.0
Kevin Anderson,Hard,7.0,False,88.0
Kevin Anderson,Hard,10.0,False,78.0
Rafael Nadal,Hard,1.0,True,102.0
Kevin Anderson,Hard,13.0,False,100.0
Jo Wilfried Tsonga,Hard,13.0,True,118.0
Kevin Anderson,Hard,12.0,False,59.0
Stan Wawrinka,Hard,6.0,True,89.0
Kevin Anderson,Hard,12.0,False,115.0
Marin Cilic,Hard,13.0,True,132.0
Kevin Anderson,Hard,8.0,False,53.0
Marcos Baghdatis,Hard,10.0,True,82.0
Kevin Anderson,Hard,7.0,False,85.0
David Ferrer,Hard,4.0,True,99.0
Kevin Anderson,Hard,6.0,False,117.0
Kevin Anderson,Hard,8.0,False,99.0
Richard Gasquet,Hard,8.0,True,117.0
Kevin Anderson,Grass,14.0,False,103.0
Kevin Anderson,Grass,10.0,False,74.0
Novak Djokovic,Grass,6.0,True,100.0
Kevin Anderson,Grass,31.0,False,154.0
Sam Querrey,Grass,31.0,True,165.0
Kevin Anderson,Grass,28.0,False,165.0
Kevin Anderson,Grass,40.0,False,157.0
Novak Djokovic,Grass,13.0,True,181.0
